"id_notes";"libelle_notes";"type_notes";"idtype_notes";"idclasse_notes";"idmat_notes";"idprof_notes";"ideleve_notes";"codeEtab_notes";"valeur_notes";"obser_notes";"session_notes";"typesess_notes";"date_notes";"niveau_notes";"cycle_notes";"sousmatiere_notes";"statut_notes";"coef_notes";"notecoef_notes";"nc_notes";"studentmat_notes";"code_notes";"matricule_notes"
"1";"interrogation 1";"1";"1";"15";"40";"1739";"1255";"000279";"13";"Passable";"2020-2021";"1";"2021-01-30 20:36:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"13";"0";\N;\N;\N
"2";"interrogation 1";"1";"1";"15";"40";"1739";"1108";"000279";"1";"Mauvais";"2020-2021";"1";"2021-01-30 20:36:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"1";"0";\N;\N;\N
"3";"interrogation 1";"1";"1";"15";"40";"1739";"1246";"000279";"16";"Bien";"2020-2021";"1";"2021-01-30 20:36:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"16";"0";\N;\N;\N
"4";"interrogation 1";"1";"1";"15";"40";"1739";"1113";"000279";"17";"Bien";"2020-2021";"1";"2021-01-30 20:36:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"17";"0";\N;\N;\N
"5";"interrogation 1";"1";"1";"15";"40";"1739";"1123";"000279";"6";"Faible";"2020-2021";"1";"2021-01-30 20:36:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"6";"interrogation 1";"1";"1";"15";"40";"1739";"1142";"000279";"15";"Bien";"2020-2021";"1";"2021-01-30 20:36:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"15";"0";\N;\N;\N
"7";"interrogation 1";"1";"1";"15";"40";"1739";"1132";"000279";"15";"Bien";"2020-2021";"1";"2021-01-30 20:36:40";"SIXIEME";"1ER CYCLE";"0";"0";"1";"15";"0";\N;\N;\N
"8";"interrogation 1";"1";"1";"15";"40";"1739";"1167";"000279";"17";"Bien";"2020-2021";"1";"2021-01-30 20:36:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"17";"0";\N;\N;\N
"9";"interrogation 1";"1";"1";"15";"40";"1739";"1204";"000279";"11";"Passable";"2020-2021";"1";"2021-01-30 20:36:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"11";"0";\N;\N;\N
"10";"interrogation 1";"1";"1";"15";"40";"1739";"1151";"000279";"16";"Bien";"2020-2021";"1";"2021-01-30 20:36:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"16";"0";\N;\N;\N
"11";"interrogation 1";"1";"1";"15";"40";"1739";"1240";"000279";"14";"Bien";"2020-2021";"1";"2021-01-30 20:36:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"14";"0";\N;\N;\N
"12";"interrogation 1";"1";"1";"15";"40";"1739";"1234";"000279";"16";"Bien";"2020-2021";"1";"2021-01-30 20:36:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"16";"0";\N;\N;\N
"13";"interrogation 1";"1";"1";"15";"40";"1739";"1160";"000279";"11";"Passable";"2020-2021";"1";"2021-01-30 20:36:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"11";"0";\N;\N;\N
"14";"interrogation 1";"1";"1";"15";"40";"1739";"1228";"000279";"10";"Passable";"2020-2021";"1";"2021-01-30 20:36:41";"SIXIEME";"1ER CYCLE";"0";"0";"1";"10";"0";\N;\N;\N
